keystone_run_id,keystone_team_id,completed_at,season,mythic_level,keystone_time_ms,faction,dungeon_name,dungeon_short_name,dungeon_slug,dungeon_patch,modifier_1,modifier_2,modifier_3,tank_name,tank_race,tank_race_id,tank_class,tank_class_id,tank_spec,tank_spec_id,tank_ilvl,healer_name,healer_race,healer_race_id,healer_class,healer_class_id,healer_spec,healer_spec_id,healer_ilvl,dps_1_name,dps_1_race,dps_1_race_id,dps_1_class,dps_1_class_id,dps_1_spec,dps_1_spec_id,dps_1_ilvl,dps_2_name,dps_2_race,dps_2_race_id,dps_2_class,dps_2_class_id,dps_2_spec,dps_2_spec_id,dps_2_ilvl,dps_3_name,dps_3_race,dps_3_race_id,dps_3_class,dps_3_class_id,dps_3_spec,dps_3_spec_id,dps_3_ilvl,clear_time_ms
2993746,390090630,2026-03-28 15:31:41+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Acefloorpov,Dwarf,3,Warrior,1,Protection,73,270.0,Jawalehutt,Goblin,9,Priest,5,Discipline,256,271.0,Gigabests,Pandaren,25,Death Knight,6,Unholy,252,273.0,Khaelt,Pandaren,25,Mage,8,Arcane,62,270.0,Hyped,Void Elf,29.0,Demon Hunter,12.0,Devourer,1480.0,269.0,1463005
3061655,392305260,2026-03-28 17:54:49+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Ántimeta-247301441,Dwarf,3,Monk,10,Brewmaster,268,269.0,Sonnydruid,Night Elf,4,Druid,11,Restoration,105,268.0,Itchigo,Orc,2,Mage,8,Frost,64,268.0,Loonyxdd,Dwarf,3,Warlock,9,Demonology,266,266.0,Pablomdlrr,Night Elf,4.0,Death Knight,6.0,Unholy,252.0,266.0,1609696
3083891,392417273,2026-03-28 18:17:55+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Pingypong,Pandaren,25,Monk,10,Brewmaster,268,267.0,Deboiteuurr,Haranir,91,Monk,10,Mistweaver,270,271.0,Roal,Night Elf,4,Hunter,3,Marksmanship,254,268.0,Marcelao-227442415,Zandalari Troll,31,Paladin,2,Retribution,70,269.0,Beardru,Night Elf,4.0,Druid,11.0,Feral,103.0,262.0,1568070
3079740,390876333,2026-03-28 19:04:46+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Wazò,Pandaren,25,Monk,10,Brewmaster,268,270.0,Mulèyò,Human,1,Paladin,2,Holy,65,269.0,Zerøcool,Night Elf,4,Rogue,4,Assassination,259,269.0,Issaadk,Pandaren,26,Death Knight,6,Unholy,252,267.0,Lillxa,Dwarf,3.0,Shaman,7.0,Elemental,262.0,264.0,1571328
3223298,392535402,2026-03-28 23:29:55+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Milob-233867343,Orc,2,Monk,10,Brewmaster,268,267.0,Semdorien,Lightforged Draenei,30,Paladin,2,Holy,65,266.0,Hoitexdk,Night Elf,4,Death Knight,6,Unholy,252,266.0,Melbe,Void Elf,29,Mage,8,Frost,64,269.0,Rotiyo,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,268.0,1593510
3108490,392416875,2026-03-28 23:33:19+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Lianlee,Dwarf,3,Monk,10,Brewmaster,268,267.125,Ihateshammy,Dwarf,3,Shaman,7,Restoration,264,266.812,Зервес,Night Elf,4,Druid,11,Balance,102,267.312,Сексималышка,Night Elf,4,Demon Hunter,12,Devourer,1480,269.688,Шокволна,Mag'har Orc,36.0,Shaman,7.0,Elemental,262.0,269.125,1701585
3120583,392448274,2026-03-28 23:51:13+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Суньхуньвынь,Dwarf,3,Monk,10,Brewmaster,268,268.25,Héléna,Dwarf,3,Shaman,7,Restoration,264,266.562,Paladious-138006089,Zandalari Troll,31,Paladin,2,Retribution,70,268.062,Animatronic,Orc,2,Death Knight,6,Unholy,252,270.438,Лэйтморн,Dwarf,3.0,Warrior,1.0,Fury,72.0,269.125,1615471
3143968,392467839,2026-03-29 00:31:31+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Wanghanccp,Orc,2,Monk,10,Brewmaster,268,268.5,Xiaomao,Night Elf,4,Monk,10,Mistweaver,270,266.062,Wildpriestxd,Void Elf,29,Priest,5,Shadow,258,272.5,Shadidrake,Dracthyr,52,Evoker,13,Augmentation,1473,268.0,Armsrework,Night Elf,4.0,Warrior,1.0,Arms,71.0,266.188,1615453
3143964,392467836,2026-03-29 00:31:31+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Kîös,Dwarf,3,Monk,10,Brewmaster,268,267.875,Nymtree-303368275,Haranir,86,Druid,11,Restoration,105,269.062,Micelino,Dwarf,3,Rogue,4,Outlaw,260,269.875,Ragish,Night Elf,4,Warrior,1,Fury,72,268.625,Zukivoker,Dracthyr,52.0,Evoker,13.0,Augmentation,1473.0,268.438,1636838
3211582,392405004,2026-03-29 01:20:28+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Oldorokh,Dwarf,3,Monk,10,Brewmaster,268,270.0,Carvîng,Night Elf,4,Druid,11,Restoration,105,268.0,Siffra,Dwarf,3,Mage,8,Arcane,62,268.0,Rouqzz-304058148,Dwarf,3,Death Knight,6,Unholy,252,268.0,Lumei,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,270.0,1602627
3359746,391198451,2026-03-29 11:03:17+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Brewzz,Dwarf,3,Monk,10,Brewmaster,268,270.0,Creavor,Night Elf,4,Druid,11,Restoration,105,268.0,Huggepung,Blood Elf,10,Paladin,2,Retribution,70,267.0,Karlwl,Night Elf,4,Warlock,9,Demonology,266,269.0,Blasth,Orc,2.0,Hunter,3.0,Beast Mastery,253.0,271.0,1595043
3362281,392654836,2026-03-29 12:35:53+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Linchm,Dwarf,3,Monk,10,Brewmaster,268,270.125,Mendingbomer,Troll,8,Druid,11,Restoration,105,266.812,Bizentein,Night Elf,4,Warrior,1,Arms,71,270.5,Cadanver,Night Elf,4,Death Knight,6,Unholy,252,267.688,Seatbelton,Dracthyr,70.0,Evoker,13.0,Augmentation,1473.0,268.625,1521021
3387491,392677531,2026-03-29 13:55:49+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Brunstigt,Dwarf,3,Monk,10,Brewmaster,268,270.938,Dârklliné,Night Elf,4,Druid,11,Restoration,105,271.312,Ecore,Dwarf,3,Shaman,7,Elemental,262,271.25,Slapperman,Dwarf,3,Paladin,2,Retribution,70,269.875,Grimfrost-302171338,Troll,8.0,Death Knight,6.0,Unholy,252.0,270.688,1493986
3413954,392701195,2026-03-29 15:11:51+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Tattman,Dwarf,3,Warrior,1,Protection,73,268.875,Madfluf,Pandaren,26,Monk,10,Mistweaver,270,268.625,Ganjo,Dwarf,3,Shaman,7,Elemental,262,267.562,Салатисос,Dark Iron Dwarf,34,Rogue,4,Subtlety,261,271.312,Xtã,Orc,2.0,Death Knight,6.0,Unholy,252.0,267.75,1616779
3416386,392685816,2026-03-29 15:18:45+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Foxalo,Vulpera,35,Monk,10,Brewmaster,268,270.562,Lipsticks,Night Elf,4,Priest,5,Discipline,256,271.125,Zackombre,Tauren,6,Paladin,2,Retribution,70,267.938,Leionf,Pandaren,25,Mage,8,Frost,64,269.688,Gonyxía,Dracthyr,52.0,Evoker,13.0,Augmentation,1473.0,268.625,1667243
3805034,393045917,2026-03-29 15:29:28+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Aiyamunky,Night Elf,4,Monk,10,Brewmaster,268,267.0,Alentors,Night Elf,4,Druid,11,Restoration,105,269.0,Jaystermodh,Night Elf,4,Demon Hunter,12,Devourer,1480,264.0,Fearandi,Dwarf,3,Warlock,9,Demonology,266,266.0,Lzys,Dwarf,3.0,Shaman,7.0,Elemental,262.0,267.0,1599996
3646165,392909503,2026-03-29 15:55:14+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Brewmandata,Dwarf,3,Monk,10,Brewmaster,268,267.0,Peshodurvoto,Night Elf,4,Druid,11,Restoration,105,259.0,Josesham,Dwarf,3,Shaman,7,Elemental,262,270.0,Yourphather,Orc,2,Death Knight,6,Unholy,252,272.0,Zuluxw,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,267.0,1592157
3765034,393011854,2026-03-29 16:23:51+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Apomonk,Dwarf,3,Monk,10,Brewmaster,268,271.0,Kevingates,Night Elf,4,Druid,11,Restoration,105,270.0,Ignisdh,Blood Elf,10,Demon Hunter,12,Devourer,1480,270.0,Tipzywl,Orc,2,Warlock,9,Demonology,266,269.0,Prage,Dracthyr,70.0,Mage,8.0,Frost,64.0,270.0,1692816
3788126,393031369,2026-03-29 17:18:52+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Pimbrew,Dwarf,3,Monk,10,Brewmaster,268,269.0,Themolished,Dark Iron Dwarf,34,Monk,10,Mistweaver,270,266.0,Krvavakrava,Tauren,6,Rogue,4,Subtlety,261,269.0,Eova,Human,1,Mage,8,Frost,64,267.0,Khurns,Blood Elf,10.0,Demon Hunter,12.0,Havoc,577.0,264.0,1643823
3855602,393089277,2026-03-29 21:47:45+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Provenzx-246024823,Dwarf,3,Warrior,1,Protection,73,269.625,Triogodx,Dwarf,3,Monk,10,Mistweaver,270,268.062,Jixzy,Orc,2,Warlock,9,Destruction,267,270.688,Deeprayaa,Dwarf,3,Shaman,7,Elemental,262,267.625,Grókon,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,268.062,1597688
3864763,393097113,2026-03-29 22:02:14+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Geslotenmonk-303425391,Blood Elf,10,Monk,10,Brewmaster,268,269.938,Yenli,Night Elf,4,Druid,11,Restoration,105,271.875,Ramnusia,Blood Elf,10,Death Knight,6,Unholy,252,268.25,Tartexx,Dwarf,3,Hunter,3,Marksmanship,254,274.75,Draglarina,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,265.938,1702146
3962711,393179364,2026-03-29 22:19:21+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Jakopsa-44001198,Tauren,6,Monk,10,Brewmaster,268,268.0,Bezoga,Dwarf,3,Paladin,2,Holy,65,270.0,Parazites,Night Elf,4,Death Knight,6,Unholy,252,268.0,Øtachi,Night Elf,4,Demon Hunter,12,Devourer,1480,267.0,Toxicage,Dwarf,3.0,Shaman,7.0,Elemental,262.0,268.0,1692630
3931729,393153815,2026-03-29 22:36:47+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Суньхуньвынь,Dwarf,3,Monk,10,Brewmaster,268,268.0,Yhdrel,Night Elf,4,Druid,11,Restoration,105,269.0,Лэйтморн,Dwarf,3,Warrior,1,Fury,72,269.0,Zazalord,Nightborne,27,Mage,8,Frost,64,271.0,Animatronic,Orc,2.0,Death Knight,6.0,Unholy,252.0,270.0,1571571
3897367,393124886,2026-03-29 23:00:18+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Djusko,Dwarf,3,Monk,10,Brewmaster,268,268.125,Raparotar,Dwarf,3,Shaman,7,Restoration,264,268.688,Ashadowz,Dwarf,3,Rogue,4,Assassination,259,267.688,Eyl,Dwarf,3,Hunter,3,Beast Mastery,253,273.188,Fróstíp-252340447,Blood Elf,10.0,Paladin,2.0,Retribution,70.0,271.125,1701178
3965514,393181694,2026-03-29 23:32:52+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Ratpanda,Pandaren,26,Monk,10,Brewmaster,268,269.0,Yari-300249952,Dwarf,3,Monk,10,Mistweaver,270,270.0,Vedev,Night Elf,4,Warlock,9,Demonology,266,266.0,Feremostotem,Goblin,9,Shaman,7,Elemental,262,270.0,Balancedcdh,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,271.0,1506372
3994070,393207189,2026-03-29 23:37:50+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Epiroul,Night Elf,4,Monk,10,Brewmaster,268,268.0,Bzkgodly-114781017,Tauren,6,Paladin,2,Holy,65,267.0,Chloéslack,Orc,2,Shaman,7,Elemental,262,267.0,Rayanw,Void Elf,29,Warrior,1,Fury,72,269.0,Dailo,Night Elf,4.0,Druid,11.0,Feral,103.0,265.0,1666138
4160332,393345061,2026-03-30 12:40:47+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Konimikssham,Dwarf,3,Monk,10,Brewmaster,268,269.312,Bezoga,Dwarf,3,Paladin,2,Holy,65,270.688,Relemage,Dwarf,3,Mage,8,Frost,64,267.625,Parazites,Night Elf,4,Death Knight,6,Unholy,252,268.188,Aimervoker,Dracthyr,70.0,Evoker,13.0,Augmentation,1473.0,267.0,1637207
4160373,393356518,2026-03-30 12:41:20+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Wasianmonk,Dwarf,3,Monk,10,Brewmaster,268,269.25,Nihaobaobao,Night Elf,4,Druid,11,Restoration,105,270.312,Jïilish,Troll,8,Mage,8,Frost,64,265.625,Vâlderon,Dracthyr,52,Warlock,9,Demonology,266,269.5,Nextyz,Night Elf,4.0,Warrior,1.0,Fury,72.0,270.75,1566566
4175895,393370878,2026-03-30 13:25:03+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Delgato,Blood Elf,10,Paladin,2,Protection,66,271.062,Mergelitazen,Night Elf,4,Monk,10,Mistweaver,270,266.875,Wannatotem,Orc,2,Shaman,7,Elemental,262,271.125,Razzagall,Night Elf,4,Demon Hunter,12,Devourer,1480,271.312,Frozeenheart,Dwarf,3.0,Mage,8.0,Frost,64.0,269.062,1639991
4196857,393390379,2026-03-30 14:23:02+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Wobenmonk,Night Elf,4,Monk,10,Brewmaster,268,266.25,Kireya,Night Elf,4,Druid,11,Restoration,105,268.625,Niskro,Dwarf,3,Death Knight,6,Unholy,252,265.062,Haxert,Dwarf,3,Shaman,7,Elemental,262,267.312,Pumpepik,Dracthyr,52.0,Evoker,13.0,Augmentation,1473.0,264.125,1646016
4202514,393378269,2026-03-30 14:34:43+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Cementmixër,Dwarf,3,Monk,10,Brewmaster,268,270.5,Cryingbrb,Night Elf,4,Monk,10,Mistweaver,270,271.125,Héat,Blood Elf,10,Hunter,3,Marksmanship,254,269.312,Vibezzical,Pandaren,25,Death Knight,6,Unholy,252,270.125,Bruenj,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,269.938,1507278
4234347,393425203,2026-03-30 15:34:13+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Lyonos,Pandaren,26,Monk,10,Brewmaster,268,269.875,Loüü,Blood Elf,10,Paladin,2,Holy,65,269.5,Evôx,Night Elf,4,Demon Hunter,12,Devourer,1480,271.312,Yaarp,Night Elf,4,Warrior,1,Fury,72,266.938,Doomsey,Night Elf,4.0,Mage,8.0,Frost,64.0,267.875,1699762
4274581,393461821,2026-03-30 16:37:28+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Maldives-50872032,Vulpera,35,Monk,10,Brewmaster,268,269.938,Vivoxmonk,Night Elf,4,Monk,10,Mistweaver,270,271.125,Beastlöck,Dwarf,3,Warlock,9,Demonology,266,269.875,Aepplet,Mechagnome,37,Mage,8,Frost,64,270.5,Baelroug,Night Elf,4.0,Demon Hunter,12.0,Devourer,1480.0,271.688,1683289
4319474,393502587,2026-03-30 17:38:33+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Epiroul,Night Elf,4,Monk,10,Brewmaster,268,268.938,Lairas,Night Elf,4,Druid,11,Restoration,105,268.312,Fauni,Dwarf,3,Shaman,7,Elemental,262,271.75,Loonyxdd,Dwarf,3,Warlock,9,Demonology,266,268.688,Seatbelton,Dracthyr,70.0,Evoker,13.0,Augmentation,1473.0,269.812,1651096
4355262,393534481,2026-03-30 18:41:59+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Chugmaxxing,Night Elf,4,Monk,10,Brewmaster,268,270.438,Wounderz,Dwarf,3,Shaman,7,Restoration,264,271.438,Dpxhunt-299164603,Orc,2,Hunter,3,Marksmanship,254,273.312,Uwunyasha,Night Elf,4,Demon Hunter,12,Devourer,1480,268.062,Bullrag,Night Elf,4.0,Warrior,1.0,Fury,72.0,268.625,1608292
4584796,393724584,2026-03-30 20:29:19+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Heálu,Night Elf,4,Monk,10,Brewmaster,268,272.0,Bambusham,Earthen,85,Shaman,7,Restoration,264,267.0,Rataucigasa,Night Elf,4,Demon Hunter,12,Devourer,1480,271.0,Vanderlock,Orc,2,Warlock,9,Demonology,266,270.0,Shtreangow,Dwarf,3.0,Warrior,1.0,Fury,72.0,272.0,1577494
4408182,393581199,2026-03-30 20:29:30+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Zigs,Dwarf,3,Monk,10,Brewmaster,268,271.312,Pawee,Night Elf,4,Monk,10,Mistweaver,270,266.375,Ушлыйети,Dracthyr,52,Evoker,13,Augmentation,1473,268.75,Khiba,Night Elf,4,Demon Hunter,12,Devourer,1480,270.75,Bigfiller,Orc,2.0,Warlock,9.0,Demonology,266.0,270.062,1702560
4441241,393610819,2026-03-30 20:46:19+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Fånts-300687219,Night Elf,4,Monk,10,Brewmaster,268,268.938,Павлупа,Dwarf,3,Paladin,2,Holy,65,266.688,Iksar,Dracthyr,70,Evoker,13,Augmentation,1473,269.438,Rubiiy,Pandaren,25,Rogue,4,Outlaw,260,269.5,Yáxz,Blood Elf,10.0,Demon Hunter,12.0,Devourer,1480.0,270.625,1693492
4418710,393590610,2026-03-30 20:55:37+00:00,season-mn-1,16,1800999,mixed,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Ratpanda,Pandaren,26,Monk,10,Brewmaster,268,270.125,Öùpsitv,Night Elf,4,Druid,11,Restoration,105,265.625,Feremostotem,Goblin,9,Shaman,7,Elemental,262,271.125,Øtachi,Night Elf,4,Demon Hunter,12,Devourer,1480,268.75,Vedev,Night Elf,4.0,Warlock,9.0,Demonology,266.0,267.812,1489834
4426205,393558145,2026-03-30 21:13:06+00:00,season-mn-1,16,1800999,alliance,Pit of Saron,POS,pit-of-saron,3.4,Fortified,Tyrannical,Xal'atath's Guile,Moenkey,Dwarf,3,Monk,10,Brewmaster,268,271.5,Ámogus,Night Elf,4,Monk,10,Mistweaver,270,271.062,Mortax,Dwarf,3,Hunter,3,Beast Mastery,253,275.0,Vilaluna,Pandaren,25,Shaman,7,Elemental,262,271.125,Lilstabs,Night Elf,4.0,Rogue,4.0,Subtlety,261.0,269.375,1665183
